date,year,month,decade,era,home_team,away_team,home_score,away_score,goal_diff,total_goals,result,went_to_shootout,shootout_winner,shootout_first_shooter,tournament,tournament_tier,is_high_stakes,city,country,neutral,has_home_advantage,total_goals_recorded,own_goals_count,penalties_count,unique_scorers
1902-03-22,1902,3,1900,Early Era (1900-1929),Northern Ireland,England,0,1,-1,1,away_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1902-05-03,1902,5,1900,Early Era (1900-1929),England,Scotland,2,2,0,4,draw,False,,,British Home Championship,3,False,Birmingham,England,False,True,0,0,0,0
1902-07-20,1902,7,1900,Early Era (1900-1929),Uruguay,Argentina,0,6,-6,6,away_win,False,,,Friendly,4,False,Montevideo,Uruguay,False,True,0,0,0,0
1902-10-12,1902,10,1900,Early Era (1900-1929),Austria,Hungary,5,0,5,5,home_win,False,,,Friendly,4,False,Vienna,Austria,False,True,0,0,0,0
1903-02-14,1903,2,1900,Early Era (1900-1929),England,Northern Ireland,4,0,4,4,home_win,False,,,British Home Championship,3,False,Wolverhampton,England,False,True,0,0,0,0
1903-03-02,1903,3,1900,Early Era (1900-1929),England,Wales,2,1,1,3,home_win,False,,,British Home Championship,3,False,Portsmouth,England,False,True,0,0,0,0
1903-03-09,1903,3,1900,Early Era (1900-1929),Wales,Scotland,0,1,-1,1,away_win,False,,,British Home Championship,3,False,Cardiff,Wales,False,True,0,0,0,0
1903-03-21,1903,3,1900,Early Era (1900-1929),Scotland,Northern Ireland,0,2,-2,2,away_win,False,,,British Home Championship,3,False,Glasgow,Scotland,False,True,0,0,0,0
1903-03-28,1903,3,1900,Early Era (1900-1929),Northern Ireland,Wales,2,0,2,2,home_win,False,,,British Home Championship,3,False,Belfast,Ireland,False,True,0,0,0,0
1903-04-04,1903,4,1900,Early Era (1900-1929),England,Scotland,1,2,-1,3,away_win,False,,,British Home Championship,3,False,Sheffield,England,False,True,0,0,0,0
1903-04-05,1903,4,1900,Early Era (1900-1929),Hungary,Czechoslovakia,2,1,1,3,home_win,False,,,Friendly,4,False,Budapest,Hungary,False,True,0,0,0,0
